Deflex;IGG;Espessura;VMD;Temperatura;Precipitação;ID
36;24;5;2900000;19;1662;1
39;56;5;2900000;19;1662;1
29;103;5;2900000;19;1662;1
32;34;5;2900000;19;1662;1
35;62;5;2900000;19;1662;1
35;33;5;2900000;19;1662;1
38;95;5;2900000;19;1662;1
36;99;5;2900000;19;1662;1
37;128;5;2900000;19;1662;1
51;4;5;2900000;19;1662;1
28;25;5;2900000;19;1662;1
34;47;5;2900000;19;1662;1
18;69;5;2900000;19;1662;1
24;61;5;2900000;19;1662;1
20;117;5;2900000;19;1662;1
28;63;5;2900000;19;1662;1
26;50;5;2900000;19;1662;1
18;61;5;2900000;19;1662;1
20;50;5;2900000;19;1662;1
22;21;5;2900000;19;1662;1
23;58;5;2900000;19;1662;1
18;82;5;2900000;19;1662;1
24;93;5;2900000;19;1662;1
26;103;5;2900000;19;1662;1
28;92;5;2900000;19;1662;1
30;130;5;2900000;19;1662;1
35;92;5;2900000;19;1662;1
36;103;5;2900000;19;1662;1
36;93;5;2900000;19;1662;1
90;83;5;12000000;27;818;2
101;103;5;12000000;28;818;2
109;86;5;12000000;28;818;2
105;58;5;12000000;28;818;2
116;109;5;12000000;28;818;2
92;210;5;12000000;28;818;2
103;113;5;12000000;28;818;2
75;109;5;12000000;28;818;2
79;86;5;12000000;28;818;2
92;79;5;12000000;28;818;2
30;9;14;69000000;22;1509;3
30;39;14;69000000;22;1509;3
33;49;14;69000000;22;1509;3
33;121;10;69000000;22;1509;3
33;105;10;69000000;22;1509;3
33;93;10;69000000;22;1509;3
33;108;10;69000000;22;1509;3
33;42;10;69000000;22;1509;3
33;20;12;69000000;22;1509;3
33;50;12;69000000;22;1509;3
30;32;12;69000000;22;1509;3
30;68;12;69000000;22;1509;3
30;113;12;69000000;22;1509;3
29;77;12;69000000;22;1509;3
29;23;12;69000000;22;1509;3
20;110;12;69000000;22;1509;3
29;74;10;69000000;22;1509;3
35;76;10;69000000;22;1509;3
35;46;10;69000000;22;1509;3
35;36;15;69000000;22;1509;3
35;29;15;69000000;22;1509;3
35;69;15;69000000;22;1509;3
35;112;15;69000000;22;1509;3
35;73;10;69000000;22;1509;3
34;112;10;69000000;22;1509;3
34;95;10;69000000;22;1509;3
34;111;10;69000000;22;1509;3
29;93;10;69000000;22;1509;3
29;59;15;69000000;22;1509;3
29;113;15;69000000;22;1509;3
29;58;15;69000000;22;1509;3
29;113;15;69000000;22;1509;3
39;95;15;69000000;22;1509;3
39;113;15;69000000;22;1509;3
39;84;15;69000000;22;1509;3
39;116;15;69000000;22;1509;3
39;64;12;69000000;22;1509;3
31;77;12;69000000;22;1509;3
31;19;12;69000000;22;1509;3
31;56;12;69000000;22;1509;3
31;59;12;69000000;22;1509;3
31;32;12;69000000;22;1509;3
31;56;12;69000000;22;1509;3
31;60;12;69000000;22;1509;3
31;36;12;69000000;22;1509;3
31;68;12;69000000;22;1509;3
35;81;12;69000000;22;1509;3
35;69;12;69000000;22;1509;3
36;64;14;69000000;22;1509;3
35;38;14;69000000;22;1509;3
29;29;14;69000000;22;1509;3
29;48;10;69000000;22;1509;3
27;47;10;69000000;22;1509;3
27;61;10;69000000;22;1509;3
27;120;14;69000000;22;1509;3
29;133;14;69000000;22;1509;3
29;56;14;69000000;22;1509;3
30;39;14;69000000;22;1509;3
30;69;14;69000000;22;1509;3
30;65;10;69000000;22;1509;3
25;46;10;69000000;22;1509;3
25;14;12;69000000;22;1509;3
25;79;12;69000000;22;1509;3
25;59;12;69000000;22;1509;3
30;65;12;69000000;22;1509;3
30;69;12;69000000;22;1509;3
30;94;12;69000000;22;1509;3
27;66;12;69000000;22;1509;3
29;67;12;69000000;22;1509;3
29;99;12;69000000;22;1509;3
29;60;12;69000000;22;1509;3
30;82;12;69000000;22;1509;3
30;114;12;69000000;22;1509;3
32;74;10;69000000;22;1509;3
32;92;10;69000000;22;1509;3
32;24;10;69000000;22;1509;3
32;145;12;69000000;22;1509;3
32;28;12;69000000;22;1509;3
32;111;12;69000000;22;1509;3
23;54;12;69000000;22;1509;3
23;105;10;69000000;22;1509;3
23;93;10;69000000;22;1509;3
28;93;10;69000000;22;1509;3
28;56;14;69000000;22;1509;3
28;55;14;69000000;22;1509;3
28;25;14;69000000;22;1509;3
23;74;14;69000000;22;1509;3
23;91;14;69000000;22;1509;3
23;18;12;69000000;22;1509;3
54;104;4;5800000;20;1368;4
58;14;4;5800000;20;1368;4
44;73;4;5800000;20;1368;4
44;73;4;5800000;20;1368;4
45;20;4;5800000;20;1368;4
32;0;5;24000000;18;1843;5
32;86;5;24000000;18;1843;5
35;132;5;24000000;18;1843;5
44;9;5;24000000;18;1843;5
53;63;5;24000000;18;1843;5
43;70;5;24000000;18;1843;5
21;23;5;24000000;18;1843;5
19;45;5;24000000;18;1843;5
37;148;5;24000000;18;1843;5
47;94;5;24000000;18;1843;5
57;138;5;24000000;18;1843;5
49;86;5;24000000;18;1843;5
42;95;5;24000000;18;1843;5
47;74;5;24000000;18;1843;5
54;136;5;24000000;18;1843;5
64;119;5;24000000;18;1843;5
68;86;5;24000000;18;1843;5
61;88;5;24000000;18;1843;5
58;126;5;24000000;18;1843;5
61;81;5;24000000;18;1843;5
55;90;5;24000000;18;1843;5
54;119;5;24000000;18;1843;5
62;55;5;24000000;18;1843;5
62;61;5;24000000;18;1843;5
51;81;5;24000000;18;1843;5
47;4;5;24000000;18;1843;5
44;6;5;24000000;18;1843;5
36;3;5;24000000;18;1843;5
37;14;5;24000000;18;1843;5
40;17;5;24000000;18;1843;5
40;6;5;24000000;18;1843;5
51;22;5;24000000;18;1843;5
45;17;5;24000000;18;1843;5
46;13;5;24000000;18;1843;5
46;12;5;24000000;18;1843;5
43;6;5;24000000;18;1843;5
42;136;5;24000000;18;1843;5
19;67;15;21700000;20;1224;6
39;57;15;21700000;20;1224;6
24;29;15;21700000;20;1224;6
62;30;15;21700000;20;1224;6
35;21;15;21700000;20;1224;6
60;43;15;21700000;20;1224;6
50;81;15;21700000;20;1224;6
36;30;15;21700000;20;1224;6
30;19;15;21700000;20;1224;6
39;22;10;21700000;20;1224;6
30;15;10;21700000;20;1224;6
41;25;10;21700000;20;1224;6
32;25;12;21700000;20;1224;6
30;17;12;21700000;20;1224;6
82;105;10;21700000;20;1224;6
93;98;10;21700000;20;1224;6
43;40;10;21700000;20;1224;6
42;11;10;21700000;20;1224;6
49;19;12;21700000;20;1224;6
44;39;12;21700000;20;1224;6
32;8;20;21700000;20;1224;6
37;56;20;21700000;20;1224;6
68;232;20;21700000;20;1224;6
19;120;6;21700000;20;1224;6
41;189;6;21700000;20;1224;6
29;98;6;21700000;20;1224;6
66;205;7;21700000;20;1224;6
37;169;7;21700000;20;1224;6
66;158;5;21700000;20;1224;6
60;39;5;21700000;20;1224;6
98;193;10;21700000;20;1224;6
82;258;10;21700000;20;1224;6
88;193;10;21700000;20;1224;6
66;123;10;21700000;20;1224;6
96;180;15;21700000;20;1224;6
98;207;15;21700000;20;1224;6
87;145;7;21700000;20;1224;6
88;125;7;21700000;20;1224;6
77;115;7;21700000;20;1224;6
112;163;10;21700000;20;1224;6
93;161;10;21700000;20;1224;6
66;212;10;21700000;20;1224;6
70;149;10;21700000;20;1224;6
86;153;10;21700000;20;1224;6
97;177;10;21700000;20;1224;6
75;144;10;21700000;20;1224;6
93;155;10;21700000;20;1224;6
74;157;10;21700000;20;1224;6
44;129;10;21700000;20;1224;6
68;100;10;21700000;20;1224;6
75;177;10;21700000;20;1224;6
89;150;10;21700000;20;1224;6
104;57;10;21700000;20;1224;6
